"Timestamp","Username","45) Switzerland vs Spain","46) Belgium vs Italy","47) Czech vs Denmark","48) Ukraine vs England"
"2021/06/30 2:57:01 PM GMT+1","anthony.belyaev","0-2","1-2","1-2","0-2"
"2021/06/30 3:07:09 PM GMT+1","leon.patmore","4-2","2-1","1-0","0-1"
"2021/06/30 3:17:07 PM GMT+1","stuart.mackellar","0-0","1-1","0-1","0-2"
"2021/06/30 3:39:07 PM GMT+1","peter.jurkovic","1-1","1-2","1-1","1-2"
"2021/06/30 5:08:51 PM GMT+1","aurelien.favre","1-3","1-1 Belgium","1-1 Denmark","0-2"
"2021/06/30 6:41:02 PM GMT+1","molly.woo","0-2","1-1","0-0","0-3"
"2021/07/01 10:05:06 AM GMT+1","dylan.basdeo","1-3","2-2 belgium","1-2","0-2"
"2021/07/02 11:52:21 AM GMT+1","muhammadusama.malik","1-2","1-0","1-0","0-2"
