"Timestamp","Username","31) 🇨🇿Czech Republic vs England 🏴󠁧󠁢󠁥󠁮󠁧󠁿 ","32) 🇭🇷Croatia vs Scotland 🏴󠁧󠁢󠁳󠁣󠁴󠁿 ","33) 🇸🇰 Slovakia vs Spain 🇪🇸 ","34) 🇸🇪 Sweden vs Poland 🇵🇱 ","35) 🇩🇪 Germany vs Hungary 🇭🇺 ","36) 🇵🇹 Portugal vs France 🇫🇷"
"2021/06/22 2:18:26 PM GMT+1","peter.jurkovic","1-1","2-1","0-2","1-1","2-0","1-1"
"2021/06/22 2:18:39 PM GMT+1","anthony.belyaev","0-2","1-0","0-1","0-0","2-0","1-2"
"2021/06/22 2:27:27 PM GMT+1","leon.patmore","0-2","1-0","0-2","0-0","2-0","1-0"
"2021/06/22 2:29:29 PM GMT+1","anton.alechnovic","1:1","3:0","1:2","2:2","3:1","2:5"
"2021/06/22 4:37:02 PM GMT+1","stuart.mackellar","1-1","0-0","0-2","1-1","3-0","0-2"
"2021/06/22 5:27:11 PM GMT+1","aurelien.favre","0-2","1-0","1-1","2-1","3-0","1-2"
"2021/06/23 9:33:10 AM GMT+1","dylan.basdeo","","","1-3","1-1","2-0","1-2"
