"Timestamp","Username","19) 🇸🇪Sweden vs Slovakia 🇸🇰","20) 🇭🇷Croatia vs Czech Republic 🇨🇿","21) 🏴󠁧󠁢󠁥󠁮󠁧󠁿England vs Scotland 🏴󠁧󠁢󠁳󠁣󠁴󠁿","22) 🇭🇺Hungary vs France 🇫🇷","23) 🇵🇹Portugal vs Germany 🇩🇪","24) 🇪🇸Spain vs Poland 🇵🇱","25) 🇮🇹Italy vs Wales 🏴󠁧󠁢󠁷󠁬󠁳󠁿","26)🇨🇭Switzerland vs Turkey 🇹🇷","27) 🇲🇰North Macedonia vs Netherlands 🇳🇱","28) 🇺🇦Ukraine vs Austria 🦘","29) 🇷🇺Russia vs Denmark 🇩🇰","30) 🇫🇮Finland vs Belgium 🇧🇪"
"2021/06/17 4:23:32 PM GMT+1","anthony.belyaev","0-0","0-0","0-0","0-0","0-1","0-0","2-1","1-0","0-2","1-1","1-2","0-3"
"2021/06/17 4:23:36 PM GMT+1","anton.alechnovic","2-2","2-1","3-1","0-3","1-2","2-0","2-1","1-1","0-3","2-1","2-0","0-2"
"2021/06/17 4:24:22 PM GMT+1","peter.jurkovic","2-1","2-2","3-0","0-3","2-1","3-1","2-1","1-0","0-2","1-1","1-0","2-2"
"2021/06/17 4:34:20 PM GMT+1","molly.woo","2-1","0-2","1-0","0-0","1-2","2-0","1-2","1-0","0-1","0-1","0-1","1-1"
"2021/06/17 4:55:13 PM GMT+1","leon.patmore","0-1","2-2","100-0","0-3","2-1","1-0","1-0","0-0","0-2","0-2","0-0","0-1"
"2021/06/17 6:39:31 PM GMT+1","dylan.basdeo","1-1","1-0","2-0","0-3","1-1","2-1","2-1","1-0","0-3","1-2","1-1","0-3"
"2021/06/18 8:43:15 AM GMT+1","stuart.mackellar","1-0","1-1","2-0","0-3","1-1","3-0","1-1","0-0","0-3","1-0","1-0","0-2"
"2021/06/18 4:53:51 PM GMT+1","aurelien.favre","2-1","2-1","3-1","0-3","2-2","1-0","3-1","1-0","0-2","1-1","1-2","1-3"
