"Timestamp","Username","11) 🇭🇺Hungary vs Portugal 🇵🇹 ","12) 🇫🇷 France vs Germany 🇩🇪","13) 🇫🇮Finland vs Russia 🇷🇺","14) 🇹🇷 Turkey vs Wales 🏴󠁧󠁢󠁷󠁬󠁳󠁿","15) 🇮🇹Italy vs Switzerland 🇨🇭","16) 🇺🇦 Ukraine vs North Macedonia 🇲🇰","17) 🇩🇰 Denmark vs Belgium 🇧🇪 ","18) 🇳🇱 Netherlands vs Austria 🇦🇺"
"2021/06/14 5:55:00 PM GMT+1","anthony.belyaev","0-2","2-1","1-1","0-2","2-0","2-1","0-2","2-0"
"2021/06/14 6:00:43 PM GMT+1","peter.jurkovic","1-2","0-1","1-1","2-1","1-2","2-2","1-2","3-1"
"2021/06/14 6:02:50 PM GMT+1","leon.patmore","1-2","2-1","0-0","0-1","2-0","3-0","0-3","1-0"
"2021/06/14 6:17:10 PM GMT+1","stuart.mackellar","0-2","1-1","1-0","0-1","0-0","3-0","0-2","1-0"
"2021/06/15 10:40:46 AM GMT+1","dylan.basdeo","0-2","2-1","1-0","0-1","1-1","2-1","1-3","2-1"
"2021/06/15 10:50:04 AM GMT+1","anton.alechnovic","0-1","3-1","1-2","0-1","2-0","2-0","1-3","2-0"
"2021/06/15 11:51:26 AM GMT+1","muhammadusama.malik","2-0","1-1","0-2","1-1","2-1","1-0","0-2","1-0"
"2021/06/15 6:06:21 PM GMT+1","aurelien.favre","0-2","2-1","0-0","2-1","3-1","1-0","1-3","2-1"
